p,metodo,overhead_segundos
1,auto,0.0
2,auto,15.184962821003865
3,auto,41.422621231999074
4,auto,9.102362840989372
5,auto,41.94084352198843
6,auto,27.248448821002967
7,auto,215.05079371100874
8,auto,192.593942632986
1,sklearn,0.0
2,sklearn,0.05745784300233936
3,sklearn,-25.55016163399705
4,sklearn,3.732726926995383
5,sklearn,101.41831442001421
6,sklearn,107.7904739409787
7,sklearn,237.7309269260004
8,sklearn,121.04359616699367
1,numpy,0.0
2,numpy,11.137083476998669
3,numpy,0.5761806330119725
4,numpy,7.809218987014901
5,numpy,26.11530138298258
6,numpy,10.920985748984094
7,numpy,31.75197246200696
8,numpy,19.455301254994993
