p,metodo,tiempo_segundos
1,auto,141.45345370299765
1,sklearn,139.80126582500088
1,numpy,19.41461585700017
2,auto,78.31920826200076
2,sklearn,69.92936183400161
2,numpy,15.27584966699942
3,auto,60.95869164499891
3,sklearn,38.08370139700128
3,numpy,6.663598830004048
4,auto,37.638954135996755
4,sklearn,35.883498187999066
4,numpy,6.805958711003768
5,auto,36.678859444997215
5,sklearn,48.24391604900302
5,numpy,9.10598344799655
6,auto,28.116983754000103
6,sklearn,41.2652899609966
6,numpy,5.055933600997378
7,auto,50.92917820200091
7,sklearn,53.93317039300018
7,numpy,7.309512617001019
8,auto,41.755924541997956
8,sklearn,32.60560774899932
8,numpy,4.8587396389993955
